STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,OPTIONALITY,Optionality,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,ISR,Israel,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,60,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,ITA,Italy,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,70.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,JPN,Japan,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,61.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,KOR,Korea,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,55.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,LVA,Latvia,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,64.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,LTU,Lithuania,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,36.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,LUX,Luxembourg,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,97.2,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,MEX,Mexico,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,131.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,NLD,Netherlands,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,97.2,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,NZL,New Zealand,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,67,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,NOR,Norway,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,74.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,POL,Poland,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,41.7,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,PRT,Portugal,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,91.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,SVK,Slovak Republic,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,85.7,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,SVN,Slovenia,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,100.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,ESP,Spain,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,78.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,SWE,Sweden,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,67.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CHE,Switzerland,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,59.2,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,TUR,Türkiye,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,81,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,GBR,United Kingdom,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,76.2,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,USA,United States,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,62.5,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,EU27,European Union (27 countries),A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,76.4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,OECD_REP,OECD average country,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,74.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,ARG,Argentina,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,97.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,BRA,Brazil,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,101.2,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,BGR,Bulgaria,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,76.2,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CHN,China (People’s Republic of),A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,103.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,HRV,Croatia,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,65.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,CYP,Cyprus,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,63.9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,IND,India,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,43.3,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,IDN,Indonesia,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,51.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,MLT,Malta,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,73.1,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,ROU,Romania,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,112.2,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,SAU,Saudi Arabia,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,79.6,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,ZAF,South Africa,A,Annual,NPRR50,Net pension replacement rate at 50% of average wage,PT_EARN_N_PRE_RET_INC,Percentage of net pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,16.8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,AUS,Australia,A,Annual,GPRR50,Gross pension replacement rate at 50% of average wage,PT_EARN_G_PRE_RET_INC,Percentage of gross pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,69.7,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SPD:DSD_PAG@DF_PAG(1.0),Pensions at a glance,I,AUT,Austria,A,Annual,GPRR50,Gross pension replacement rate at 50% of average wage,PT_EARN_G_PRE_RET_INC,Percentage of gross pre-retirement earnings at the same income level,F,Female,_Z,Not applicable,M,Mandatory,2024,,74.1,,A,Normal value,0,Units,1,One
